warning_detector,drift_detector,warning_signal,drift_signal,model_type,files,mean_accuracy,mean_detected_drifts,mean_time_s,total_time_s
seqdrift2,seqdrift2,uq_mi,error,hf,10,0.9462171717171717,3.8,16.836803608299853,168.36803608299851
adwin,seqdrift2,error,uq_vote,hf,10,0.9451161616161616,1.2,12.441514570899972,124.41514570899972
adwin,seqdrift2,uq_entropy,uq_vote,hf,10,0.9445050505050505,0.6,11.761345558500125,117.61345558500125
adwin,seed,uq_vote,error,hf,10,0.9441464646464646,0.0,11.30199535429997,113.0199535429997
seed,adwin,error,uq_vote,hf,10,0.9423686868686868,0.0,12.312952587400014,123.12952587400014
seed,seed,error,uq_mi,hf,10,0.9423686868686868,0.0,16.81067871259993,168.1067871259993
seed,seed,error,uq_vote,hf,10,0.9423686868686868,0.0,16.37697272500018,163.76972725000178
seed,seed,error,uq_entropy,hf,10,0.9423686868686868,0.0,15.142859891700118,151.42859891700118
seed,seqdrift2,error,uq_mi,hf,10,0.9423686868686868,0.0,12.507176933199844,125.07176933199844
seed,seqdrift2,error,uq_vote,hf,10,0.9423686868686868,0.0,13.636208025000268,136.3620802500027
seqdrift2,seqdrift2,uq_entropy,error,hf,10,0.9423434343434343,4.4,12.784915271000136,127.84915271000136
seed,adwin,error,uq_entropy,hf,10,0.9421515151515152,0.0,12.797718945799716,127.97718945799716
adwin,seed,uq_vote,uq_mi,hf,10,0.9421161616161617,0.0,10.174421083400057,101.74421083400057
adwin,seed,uq_vote,uq_vote,hf,10,0.9421161616161617,0.0,10.833022670700075,108.33022670700075
adwin,seed,uq_vote,uq_entropy,hf,10,0.9421161616161617,0.0,12.390429583500099,123.904295835001
seqdrift2,adwin,error,error,ht,10,0.9419191919191918,1.4,1.7248709208997752,17.248709208997752
adwin,adwin,uq_mi,uq_mi,hf,10,0.9413080808080808,1.7,15.312492741700003,153.12492741700004
seqdrift2,seqdrift2,uq_entropy,uq_entropy,hf,10,0.9407626262626263,4.2,11.788084716699814,117.88084716699814
seqdrift2,seqdrift2,uq_vote,uq_entropy,hf,10,0.9388333333333334,4.5,11.247154145800232,112.47154145800232
adwin,adwin,uq_entropy,uq_mi,hf,10,0.9378737373737372,0.3,8.931069541600005,89.31069541600004
